SHORT_LINE_DENSITY_5,SHORT_LINE_DENSITY_2,VEDGE_MEAN,VEDGE_SD,HEDGE_MEAN,HEDGE_SD,INTENSITY_MEAN,RAWRED_MEAN,RAWBLUE_MEAN,RAWGREEN_MEAN,EXRED_MEAN,EXBLUE_MEAN,EXGREEN_MEAN,VALUE_MEAN,SATURATION_MEAN,HUE_MEAN,Target
-0.35704731841351994,-0.19455170047579257,-0.5989501845886975,-0.12593145535789518,-0.48709044830288845,-0.13491062320844716,-0.8086955719000839,-0.7276210244444469,-0.8392201020650606,-0.8413820492963278,1.3932501565102295,-0.8669648249482127,0.07178900593278005,-0.8706022004029819,0.5202047087192987,0.15603794140083554,0
-0.35704731841351994,-0.19455170047579257,-0.5783613132389037,-0.12138822381399696,-0.5332674482223392,-0.13887896098507227,-0.7960808249072795,-0.6990733900897388,-0.8366668803749729,-0.8322136879812578,1.5275691565707197,-0.9237480990783156,0.03330609990752768,-0.8550666866944627,0.4892984607000731,0.2835465645999776,0
-0.35704731841351994,-0.19455170047579257,-0.5989502142367339,-0.12494020537855681,-0.4409135176489031,-0.13132022629563106,-0.8106363001912955,-0.7212771209243535,-0.8494329750380248,-0.8413820492963278,1.470003886866553,-0.9237480990783156,0.09103050223871881,-0.8757807041957132,0.4632214426248211,0.25692614030182065,0
-0.35704731841351994,-0.19455170047579257,-0.5165944990652767,-0.12361853741611968,-0.3639518972934621,-0.1321390863982668,-0.817428849210536,-0.7149332002756882,-0.8673055084854564,-0.8474942947572235,1.5947286479661724,-1.00324465935219,0.10065124606235691,-0.8706022004029819,0.642864091379742,0.40040450157649904,0
-0.35704731841351994,-0.19455170047579257,-0.43423889877996047,-0.11899270175560005,-0.4255211658716288,-0.13289496390811067,-0.8125770284825071,-0.7371369025626829,-0.8392201020650606,-0.8444381734020303,1.3452790825929706,-0.8442515285834544,0.08140975841508069,-0.8680129461762913,0.5959251171286924,0.12111608514637569,0
-0.35704731841351994,-0.19455170047579257,-0.5165945731853677,-0.12560103987274746,-0.48709044830288845,-0.13491062320844716,-0.8251917807152832,-0.7403088571774916,-0.8621990788926673,-0.8536065347171002,1.441221230427488,-0.9237480990783156,0.11989268175765806,-0.8861377001295518,0.5897440077158611,0.24406859455020594,0
2.4106684711372743,-0.19455170047579257,-0.33129434561275045,-0.10751068850745811,0.005464018943584881,-0.08603081272481196,-0.4467493787911062,-0.3787056885178635,-0.42049205051108984,-0.5388260213796606,0.9806989519070575,-0.19124408561750003,-0.6593869878266415,-0.4485544512285756,0.04401219726965551,-0.16848225395497649,0
-0.35704731841351994,-0.19455170047579257,-0.06363839545666687,-0.007972690063333529,0.06703325981556542,-0.12281663679355133,-0.5010898233447473,-0.39773738765909533,-0.5226208491776624,-0.5693872074264968,1.3452790825929706,-0.5546569398844879,-0.40924783890262556,-0.5521244571734586,-0.25429184929351384,0.011521910840351366,0
-0.35704731841351994,-0.19455170047579257,-0.20776079879759646,-0.10949321518528915,-0.28699026308492814,-0.12401345112761898,-0.5078823985638461,-0.39456546159190675,-0.5302805464184926,-0.58466782795501,1.441221230427488,-0.5660135804011271,-0.4862136509531303,-0.5598922454871036,-0.16707494537766465,0.03932920821907714,0
-0.35704731841351994,-0.19455170047579257,-0.207760835857642,-0.09858948405798681,-0.31777491122710455,-0.11947821413035958,-0.4127865812951869,-0.3311263407481135,-0.40006629077777534,-0.5021525431132671,1.0766410980146164,-0.2537056084590154,-0.6497660881470781,-0.42784045003959903,-0.09682281888619698,-0.12666803933988802,0
-0.35704731841351994,-0.19455170047579257,-0.5577723751810281,-0.12692270729990932,-0.5024828000801628,-0.1338398031421963,-0.8678878371817541,-0.7783723610861496,-0.9234763466031224,-0.8780555083091548,1.517974952149019,-1.0827412237144591,0.3123074283504828,-0.9223872010450985,0.7606945069543622,0.5125931986113931,0
-0.35704731841351994,-0.19455170047579257,0.12166153563558632,-0.04539239280815899,-0.1792440915589622,-0.12684797342180737,-0.3565054084503341,-0.3184384937412588,-0.3004907781424254,-0.45631073653791765,0.6353072386993384,0.08131559341144105,-0.7748357059023986,-0.3268597612401773,0.03582425349589846,-0.26424983454199424,0
-0.35704731841351994,-0.19455170047579257,-0.3930611190203274,-0.1176710363357202,-0.48709046215598156,-0.1371782455336865,-0.8048141022177315,-0.7117612370965936,-0.8468797533479372,-0.8352698093364509,1.4987865001316545,-0.9407830751847543,0.09103050223871881,-0.8602452044691432,0.496059259954499,0.27839100779546155,0
-0.35704731841351994,-0.19455170047579257,-0.1459941180401332,-0.09090728783031557,-0.24081322160619834,-0.12533622724583962,-0.4021126018933812,-0.3311263407481135,-0.38219379409670673,-0.48992804118943756,0.9711047474853569,-0.1969224058758197,-0.640145361640765,-0.40971574269283534,-0.08555487854174255,-0.1743336420608888,0
